Country,Region,City,NIL,CODICE,PREVALENTE,DISCIPLINA,DENOMINAZI,INDIRIZZO,CATEGORIA,TIPOLOGIA,SEDIME
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Palletta 6,VIA GIOVANNI BATTISTA PALLETTA 6,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Presidio Osp. Niguarda CÃ  Granda,VIA GIOVANNI BATTISTA PALLETTA 6,Salute,Strutture di ricovero e cura,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Asl UnitÃ  Operativa,VIA GIOVANNI BATTISTA PALLETTA 6,Salute,Strutture ambulatoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Servizio privato,Consultorio Pediatrico,VIA GIOVANNI BATTISTA PALLETTA 6,Salute,Strutture ambulatoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,CDD Cherasco,VIA GIOVANNI BATTISTA PALLETTA 6,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Servizio sociale specialistico territoriale zona 9,VIA GIOVANNI BATTISTA PALLETTA 6,Servizi Sociali,Specialistico emergenziale,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,429,Servizio unico,Disciplinato PdS,Val D'ossola 5,VIA VAL D'OSSOLA 5,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,430,Servizio unico,Disciplinato PdS,Cassinis Gino - Trasferita in Via Calboli 1 Via,VIA PRIVATA HERMADA 18,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,431,Servizio unico,Disciplinato PdS,Scuola Paritaria - Monterotondo 10,VIA MONTE ROTONDO 10,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,432,Servizio unico,Disciplinato PdS,Gatti F.,VIA FRANCESCO GATTI 12,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,433,Servizio principale,Disciplinato PdS,The British American Preschool S.a.s.,VIA VAL CISMON 9,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,433,Servizio sussidiario,Disciplinato PdS,Scuola Paritaria - The Bilingual European School,VIA VAL CISMON 9,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,434,Servizio principale,Disciplinato PdS,Cag Cirie',VIA CIRIE' 9,Servizi Sociali,DomiciliaritÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,434,Servizio sussidiario,Servizio privato,Centro di Educazione Permanente,VIA CIRIE' 9,Istruzione,Formazione professionale,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,434,Servizio sussidiario,Servizio privato,Centro Aggregativo Multifunzionale - Cam,VIA CIRIE' 9,Cultura,Spazi socio culturali e creativi,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,435,Servizio principale,Disciplinato PdS,Iiss B. Russell,VIA FRANCESCO GATTI 16,Istruzione,Scuole secondarie di secondo grado,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,435,Servizio sussidiario,Servizio privato,Bertrand Russel,VIA FRANCESCO GATTI 16,Istruzione,Scuole secondarie di secondo grado,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,435,Servizio sussidiario,Servizio privato,Bertrand Russel,VIA FRANCESCO GATTI 16,Istruzione,Scuole secondarie di secondo grado,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,436,Servizio principale,Disciplinato PdS,Piscina Scarioni,VIA VALFURVA 9,Sport,Centri sportivi,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,436,Servizio sussidiario,Disciplinato PdS,Parkour,VIA VALFURVA 9,Sport,Centri sportivi,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,437,Servizio principale,Disciplinato PdS,Centro Girola,VIA CARLO GIROLA 30,Servizi Sociali,ResidenzialitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,437,Servizio sussidiario,Disciplinato PdS,CDI Girola,VIA CARLO GIROLA 30,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,440,Servizio principale,Disciplinato PdS,Scuola Paritaria - Maria Immacolata,VIALE SUZZANI GIOVANNI 64,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,440,Servizio sussidiario,Disciplinato PdS,Scuola Paritaria - Maria Immacolata,VIALE SUZZANI GIOVANNI 64,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,440,Servizio sussidiario,Servizio privato,Maria Ausiliatrice,VIALE SUZZANI GIOVANNI 64,Sport,Strutture sportive oratoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,441,Servizio unico,Disciplinato PdS,Ca' Granda,VIA MONCALIERI 15,Commercio e attivitÃ ,Mercati rionali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,442,Servizio unico,Disciplinato PdS,Comune di Milano - Civiche Depositerie,VIA FERDINANDO GREGOROVIUS 15,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio principale,Disciplinato PdS,Presidio Ospedaliero Ospedale Niguarda Ca',Piazza dell'Ospedale Maggiore 3,Salute,Strutture di ricovero e cura,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Servizio privato,Milano Niguarda Ca' Granda - Upg,Piazza dell'Ospedale Maggiore 3,Amministrativo,Uffici degli Enti Pubblici e delle societÃ  di,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Azienda Ospedaliera Ospedale Niguarda Ca',Piazza dell'Ospedale Maggiore 3,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Sezione Ospedaliera C/o Ospedale Niguarda,Piazza dell'Ospedale Maggiore 3,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Speciale C/o Ospedale Maggiore Niguarda,Piazza dell'Ospedale Maggiore 3,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Sezione Ospedaliera C/o Ospedale Maggiore,Piazza dell'Ospedale Maggiore 3,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Posto di P.s. C/o Ospedale Niguarda,Piazza dell'Ospedale Maggiore 3,Sicurezza e Protezione,Polizia di Stato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Universita' degli Studi - Istituto di Chirurgia,Piazza dell'Ospedale Maggiore 3,UniversitÃ  e ricerca,UniversitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Ospedale Niguarda Ca' Granda,Piazza dell'Ospedale Maggiore 3,Salute,Pronto soccorso e pronto intervento,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Ospedale Niguarda Ca' Granda,Piazza dell'Ospedale Maggiore 3,Salute,Pronto soccorso e pronto intervento,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Presidio Osp. Niguarda CÃ  Granda,Piazza dell'Ospedale Maggiore 3,Salute,Strutture di ricovero e cura,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Servizio privato,Centro di Medicina Iperbarica CÃ  Granda,Piazza dell'Ospedale Maggiore 3,Salute,Strutture ambulatoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Ospedale Niguarda Ca' Granda,Piazza dell'Ospedale Maggiore 3,Salute,Pronto soccorso e pronto intervento,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Ospedale Niguarda Ca' Granda,Piazza dell'Ospedale Maggiore 3,Salute,Pronto soccorso e pronto intervento,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,Centro Clinico Nemo - Fondazione Serena,Piazza dell'Ospedale Maggiore 3,Salute,Strutture di ricovero e cura,Areale
